id,category,santali_ol_chiki,bengali,english,status,notes
37,Numeral,ᱜᱮᱞ ᱢᱚᱬᱮ,পনেরো,fifteen,seeded,Source-backed seed; still recommended for native-speaker review.
38,Numeral,ᱜᱮᱞ ᱛᱩᱨᱩᱭ,ষোলো,sixteen,seeded,Source-backed seed; still recommended for native-speaker review.
39,Numeral,ᱜᱮᱞ ᱮᱭᱟᱭ,সতেরো,seventeen,seeded,Source-backed seed; still recommended for native-speaker review.
40,Numeral,ᱜᱮᱞ ᱤᱨᱟᱹᱞ,আঠারো,eighteen,seeded,Source-backed seed; still recommended for native-speaker review.
41,Numeral,ᱜᱮᱞ ᱟᱨᱮ,উনিশ,nineteen,seeded,Source-backed seed; still recommended for native-speaker review.
42,Numeral,ᱟᱨᱮ ᱜᱮᱞ,নব্বই,ninety,seeded,Source-backed seed; still recommended for native-speaker review.
43,Numeral,ᱜᱮᱞ ᱯᱳᱱ,চৌদ্দ (বিকল্প রূপ),fourteen (variant),seeded,Source-backed seed; still recommended for native-speaker review.
44,Body,ᱛᱤ,হাত,hand,seeded,Source-backed seed; still recommended for native-speaker review.
45,Food,ᱛᱚᱣᱟ,দুধ,milk,seeded,Source-backed seed; still recommended for native-speaker review.
46,Nature,ᱛᱩᱠᱟᱹ,বাসা/নীড়,nest,seeded,Source-backed seed; still recommended for native-speaker review.
47,Animal,ᱛᱩᱭᱩ,শেয়াল,fox,seeded,Source-backed seed; still recommended for native-speaker review.
48,Food,ᱛᱩᱲᱤ,সরিষা,mustard,seeded,Source-backed seed; still recommended for native-speaker review.
49,Verb,ᱛᱮᱝᱜᱳ,দাঁড়ানো,to stand,seeded,Source-backed seed; still recommended for native-speaker review.
50,Verb,ᱛᱮᱭᱟᱨ,তৈরি করা,to make,seeded,Source-backed seed; still recommended for native-speaker review.
51,Verb,ᱛᱳᱞ,বাঁধা/জোড়া দেওয়া,"to tie, bind",seeded,Source-backed seed; still recommended for native-speaker review.
52,Body,ᱛᱷᱚᱛᱱᱟ,গাল,cheek,seeded,Source-backed seed; still recommended for native-speaker review.
53,Religion/Culture,ᱜᱚᱥᱟᱸᱭ,ঈশ্বর/দেবতা,god,seeded,Source-backed seed; still recommended for native-speaker review.
54,People,ᱜᱚᱨᱚᱱ,ব্যক্তি/মানুষ,person,seeded,Source-backed seed; still recommended for native-speaker review.
55,Verb,ᱜᱚᱲᱚ,সাহায্য করা,to help,seeded,Source-backed seed; still recommended for native-speaker review.
56,Math,ᱜᱚᱴᱟᱱ,সংখ্যা,number,seeded,Source-backed seed; still recommended for native-speaker review.
57,Place,ᱜᱚᱵᱷᱚ,কেন্দ্র/মাঝখান,"center, middle",seeded,Source-backed seed; still recommended for native-speaker review.
58,People,ᱜᱟᱛᱮ,বন্ধু,friend,seeded,Source-backed seed; still recommended for native-speaker review.
59,Verb,ᱜᱟᱜ,সেলাই/বোনা,"to sew, weave",seeded,Source-backed seed; still recommended for native-speaker review.
60,Animal,ᱜᱟᱤ,গরু,cow,seeded,Source-backed seed; still recommended for native-speaker review.
61,Nature,ᱜᱟᱰᱟ,নদী,river,seeded,Source-backed seed; still recommended for native-speaker review.
62,Nature,ᱜᱤᱛᱤᱞ,বালি,sand,seeded,Source-backed seed; still recommended for native-speaker review.
63,Nature,ᱜᱤᱛᱤᱞ ᱚᱛ,মরুভূমি,desert,seeded,Source-backed seed; still recommended for native-speaker review.
64,People,ᱜᱤᱫᱽᱨᱟᱹ,শিশু,child,seeded,Source-backed seed; still recommended for native-speaker review.
65,Plant,ᱜᱩᱞᱟᱹᱯ,গোলাপ,rose,seeded,Source-backed seed; still recommended for native-speaker review.
66,Verb,ᱜᱩᱡᱩᱜ,মারা যাওয়া,to die,seeded,Source-backed seed; still recommended for native-speaker review.
67,Food,ᱜᱩᱦᱩᱢ,গম,wheat,seeded,Source-backed seed; still recommended for native-speaker review.
68,Abstract,ᱜᱩᱨ,মৃত্যু,death,seeded,Source-backed seed; still recommended for native-speaker review.
69,Animal,ᱜᱩᱰᱩ,ইঁদুর,rat,seeded,Source-backed seed; still recommended for native-speaker review.
70,Body,ᱜᱩᱱᱴᱷᱤ,হাঁটু,knee,seeded,Source-backed seed; still recommended for native-speaker review.
71,Abstract,ᱜᱮᱭᱟᱱ,জ্ঞান,knowledge,seeded,Source-backed seed; still recommended for native-speaker review.
72,Time,ᱜᱳᱞᱚ,গতকাল,yesterday,seeded,Source-backed seed; still recommended for native-speaker review.
73,Verb,ᱜᱳᱡ,মেরে ফেলা,to kill,seeded,Source-backed seed; still recommended for native-speaker review.
74,Food,ᱜᱷᱟᱱᱴᱟᱲ,কাঁঠাল,jackfruit,seeded,Source-backed seed; still recommended for native-speaker review.
75,Plant,ᱜᱷᱟᱸᱥ,ঘাস,grass,seeded,Source-backed seed; still recommended for native-speaker review.
76,Object,ᱜᱷᱩᱰᱤ,ঘড়ি,clock,seeded,Source-backed seed; still recommended for native-speaker review.
77,Food,ᱜᱷᱳᱨ,ছাছ/ঘোল,buttermilk,seeded,Source-backed seed; still recommended for native-speaker review.
78,Verb,ᱞᱚ,পোড়ানো,to burn,seeded,Source-backed seed; still recommended for native-speaker review.
79,Nature,ᱞᱚᱞᱚ,তাপ/উষ্ণতা,heat,seeded,Source-backed seed; still recommended for native-speaker review.
80,Food,ᱞᱚᱟ,ডুমুর,fig,seeded,Source-backed seed; still recommended for native-speaker review.
81,Postposition,ᱞᱟᱜᱤᱫ,জন্য,for,seeded,Source-backed seed; still recommended for native-speaker review.
82,Object,ᱞᱟᱞᱴᱮᱱ,লণ্ঠন,lantern,seeded,Source-backed seed; still recommended for native-speaker review.
83,Numeral,ᱞᱟᱠ,এক লক্ষ,"hundred thousand, lakh",seeded,Source-backed seed; still recommended for native-speaker review.
84,Body,ᱞᱟᱡ,পেট,belly,seeded,Source-backed seed; still recommended for native-speaker review.
85,Economy,ᱞᱟᱵᱽ,লাভ,profit,seeded,Source-backed seed; still recommended for native-speaker review.
86,Verb,ᱞᱟᱸᱫᱟ,হাসা,to laugh,seeded,Source-backed seed; still recommended for native-speaker review.
87,Food,ᱞᱟᱹᱣᱟ,লাউ,calabash/bottle gourd,seeded,Source-backed seed; still recommended for native-speaker review.
88,Transport,ᱞᱟᱹᱣᱠᱟᱹ,নৌকা,boat,seeded,Source-backed seed; still recommended for native-speaker review.
89,Color,ᱞᱤᱞ,নীল,blue,seeded,Source-backed seed; still recommended for native-speaker review.
90,Food,ᱞᱤᱢᱵᱩ,লেবু,lemon,seeded,Source-backed seed; still recommended for native-speaker review.
91,Body,ᱞᱩᱛᱩᱨ,কান,ear,seeded,Source-backed seed; still recommended for native-speaker review.
92,Body,ᱞᱩᱴᱤ,ঠোঁট,lip,seeded,Source-backed seed; still recommended for native-speaker review.
93,Direction,ᱞᱮᱸᱜᱟ,বাম,left,seeded,Source-backed seed; still recommended for native-speaker review.
94,Place,ᱟᱛᱳ,গ্রাম,village,seeded,Source-backed seed; still recommended for native-speaker review.
95,Pronoun,ᱟᱞᱟᱝ,আমরা (অন্তর্ভুক্তিমূলক দ্বিবচন),we (inclusive dual),seeded,Source-backed seed; still recommended for native-speaker review.
96,Family,ᱟᱭᱚ,মা,mother,seeded,Source-backed seed; still recommended for native-speaker review.
97,Family,ᱟᱯᱟ,বাবা,father,seeded,Source-backed seed; still recommended for native-speaker review.
98,Verb,ᱟᱧᱡᱚᱢ,শোনা,"to hear, listen",seeded,Source-backed seed; still recommended for native-speaker review.
99,Conjunction,ᱟᱨ,এবং,and,seeded,Source-backed seed; still recommended for native-speaker review.
100,Adverb,ᱟᱨᱦᱳᱸ,আরও,more,seeded,Source-backed seed; still recommended for native-speaker review.
101,Body/Speech,ᱟᱲᱟᱝ,কণ্ঠ/চিৎকার,"voice, cry",seeded,Source-backed seed; still recommended for native-speaker review.
102,Place,ᱟᱱᱴᱟᱨᱠᱚᱴᱤᱠᱟ,অ্যান্টার্কটিকা,Antarctica,seeded,Source-backed seed; still recommended for native-speaker review.
103,Place,ᱚᱲᱟᱜ,বাড়ি/ঘর,"home, house",seeded,Source-backed seed; still recommended for native-speaker review.
104,Agriculture,ᱚᱵᱚᱫ,ফসল/চাষ,"harvest, cultivation",seeded,Source-backed seed; still recommended for native-speaker review.
105,Adjective,ᱚᱵᱳᱞ,দুর্বল,weak,seeded,Source-backed seed; still recommended for native-speaker review.
106,Time,ᱚᱠᱛᱚ,সময়,time,seeded,Source-backed seed; still recommended for native-speaker review.
107,Pronoun,ᱚᱱᱟ,সেটি,that,seeded,Source-backed seed; still recommended for native-speaker review.
108,Science,ᱚᱠᱥᱤᱡᱮᱱ,অক্সিজেন,oxygen,seeded,Source-backed seed; still recommended for native-speaker review.
109,Animal,ᱚᱠᱴᱚᱯᱚᱥ,অক্টোপাস,octopus,seeded,Source-backed seed; still recommended for native-speaker review.
110,Family,ᱚᱡᱚ,দাদু/পিতামহ,grandfather,seeded,Source-backed seed; still recommended for native-speaker review.
111,Family,ᱚᱡᱤ,ঠাকুমা/দিদিমা,grandmother,seeded,Source-backed seed; still recommended for native-speaker review.
112,Science,ᱚᱣᱟᱝ,বিশ্বব্রহ্মাণ্ড,universe,seeded,Source-backed seed; still recommended for native-speaker review.
113,Adjective,ᱚᱥᱟᱨ,প্রশস্ত,"broad, wide",seeded,Source-backed seed; still recommended for native-speaker review.
114,Particle,ᱚᱦᱚ,না/নয়,not,seeded,Source-backed seed; still recommended for native-speaker review.
115,Animal,ᱚᱫᱟᱢ,উদবিড়াল,otter,seeded,Source-backed seed; still recommended for native-speaker review.
116,Technology,ᱚᱱᱛᱚᱨ ᱡᱟᱞᱟᱢ,ইন্টারনেট,Internet,seeded,Source-backed seed; still recommended for native-speaker review.
117,Particle,ᱚᱦᱚ,না,no/not,seeded,Source-backed seed; still recommended for native-speaker review.
118,Verb,ᱚᱞ,লেখা,to write,seeded,Source-backed seed; still recommended for native-speaker review.
119,Language,ᱚᱞ ᱪᱤᱠᱤ,অল চিকি,Ol Chiki,seeded,Source-backed seed; still recommended for native-speaker review.
120,Pronoun,ᱚᱠᱚᱭ ᱦᱚᱸ ᱵᱟᱠᱚ,কেউ নয়,nobody,seeded,Source-backed seed; still recommended for native-speaker review.
121,Pronoun,ᱚᱠᱚᱭᱠᱚ,কারা/কাদের,who/whom (plural),seeded,Source-backed seed; still recommended for native-speaker review.
122,Possessive,ᱟᱢ ᱨᱮᱱ,তোমার,your,seeded,Source-backed seed; still recommended for native-speaker review.
123,Postposition,ᱟᱢ ᱨᱮ,তোমার কাছে/তোমার মধ্যে,with/in you,seeded,Source-backed seed; still recommended for native-speaker review.
124,Postposition,ᱤᱧ ᱨᱮ,আমার মধ্যে/আমার কাছে,with/in me,seeded,Source-backed seed; still recommended for native-speaker review.
125,Phrase,ᱚᱠᱟ ᱞᱮᱠᱟ ᱢᱮᱱᱟᱢᱟ,কেমন আছ?,how are you?,seeded,Source-backed seed; still recommended for native-speaker review.
126,Review candidate,,জল,water,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
127,Review candidate,,আগুন,fire,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
128,Review candidate,,বায়ু,air,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
129,Review candidate,,আকাশ,sky,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
130,Review candidate,,সূর্য,sun,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
131,Review candidate,,চাঁদ,moon,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
132,Review candidate,,তারা,star,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
133,Review candidate,,বৃষ্টি,rain,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
134,Review candidate,,মেঘ,cloud,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
135,Review candidate,,হাওয়া,wind,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
136,Review candidate,,,storm,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
137,Review candidate,,,light,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
138,Review candidate,,,darkness,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
139,Review candidate,,দিন,day,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
140,Review candidate,,রাত,night,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
141,Review candidate,,সকাল,morning,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
142,Review candidate,,সন্ধ্যা,evening,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
143,Review candidate,,আজ,today,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
144,Review candidate,,আগামীকাল,tomorrow,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
145,Review candidate,,সপ্তাহ,week,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
146,Review candidate,,মাস,month,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
147,Review candidate,,বছর,year,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
148,Review candidate,,,spring,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
149,Review candidate,,,summer,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
150,Review candidate,,,autumn,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
151,Review candidate,,,winter,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
152,Review candidate,,পৃথিবী,earth,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
153,Review candidate,,পাথর,stone,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
154,Review candidate,,পাহাড়,mountain,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
155,Review candidate,,,hill,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
156,Review candidate,,জঙ্গল,forest,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
157,Review candidate,,গাছ,tree,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
158,Review candidate,,পাতা,leaf,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
159,Review candidate,,ফুল,flower,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
160,Review candidate,,ফল,fruit,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
161,Review candidate,,বীজ,seed,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
162,Review candidate,,শিকড়,root,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
163,Review candidate,,ডাল,branch,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
164,Review candidate,,ক্ষেত,field,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
165,Review candidate,,রাস্তা,road,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
166,Review candidate,,,path,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
167,Review candidate,,,bridge,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
168,Review candidate,,বাজার,market,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
169,Review candidate,,স্কুল,school,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
170,Review candidate,,কলেজ,college,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
171,Review candidate,,হাসপাতাল,hospital,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
172,Review candidate,,অফিস,office,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
173,Review candidate,,দোকান,shop,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
174,Review candidate,,,village,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
175,Review candidate,,,town,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
176,Review candidate,,শহর,city,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
177,Review candidate,,দেশ,country,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
178,Review candidate,,বিশ্ব,world,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
179,Review candidate,,পুরুষ,man,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
180,Review candidate,,মহিলা,woman,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
181,Review candidate,,ছেলে,boy,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
182,Review candidate,,মেয়ে,girl,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
183,Review candidate,,,father,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
184,Review candidate,,,mother,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
185,Review candidate,,ভাই,brother,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
186,Review candidate,,বোন,sister,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
187,Review candidate,,স্বামী,husband,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
188,Review candidate,,স্ত্রী,wife,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
189,Review candidate,,বন্ধু,friend,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
190,Review candidate,,শিক্ষক,teacher,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
191,Review candidate,,ছাত্র/ছাত্রী,student,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
192,Review candidate,,ডাক্তার,doctor,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
193,Review candidate,,কৃষক,farmer,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
194,Review candidate,,শ্রমিক,worker,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
195,Review candidate,,চালক,driver,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
196,Review candidate,,,police,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
197,Review candidate,,শিশু,child,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
198,Review candidate,,শিশু,baby,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
199,Review candidate,,পরিবার,family,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
200,Review candidate,,মাথা,head,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
201,Review candidate,,চুল,hair,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
202,Review candidate,,মুখমণ্ডল,face,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
203,Review candidate,,চোখ,eye,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
204,Review candidate,,নাক,nose,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
205,Review candidate,,মুখ,mouth,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
206,Review candidate,,দাঁত,tooth,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
207,Review candidate,,জিহ্বা,tongue,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
208,Review candidate,,ঘাড়,neck,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
209,Review candidate,,কাঁধ,shoulder,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
210,Review candidate,,বাহু,arm,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
211,Review candidate,,হাত,hand,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
212,Review candidate,,আঙুল,finger,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
213,Review candidate,,বুক,chest,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
214,Review candidate,,পিঠ,back,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
215,Review candidate,,পা,leg,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
216,Review candidate,,পায়ের পাতা,foot,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
217,Review candidate,,হৃদয়,heart,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
218,Review candidate,,রক্ত,blood,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
219,Review candidate,,হাড়,bone,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
220,Review candidate,,চামড়া,skin,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
221,Review candidate,,ব্যথা,pain,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
222,Review candidate,,খাবার,food,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
223,Review candidate,,ভাত/চাল,rice,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
224,Review candidate,,রুটি,bread,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
225,Review candidate,,লবণ,salt,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
226,Review candidate,,চিনি,sugar,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
227,Review candidate,,তেল,oil,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
228,Review candidate,,চা,tea,needs_native_review,Concept slot: Santali spelling/meaning must be supplied or verified by a native Santali speaker before publication.
